GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US04015,"Mohave County, Arizona",213267,34126,160165,2063,4053,2600,365,690,9205
0500000US04017,"Navajo County, Arizona",106717,10887,44786,674,46572,548,68,232,2950
0500000US04019,"Pima County, Arizona",1043433,372788,536868,36254,23670,29844,1937,4657,37415
0500000US04021,"Pinal County, Arizona",425264,121533,240006,20712,17156,6290,1081,1658,16828
0500000US04023,"Santa Cruz County, Arizona",47669,39632,7119,114,78,271,13,150,292
0500000US04025,"Yavapai County, Arizona",236209,34390,183296,1415,3319,2802,269,1071,9647
0500000US04027,"Yuma County, Arizona",203881,130003,61123,3484,1888,2321,215,622,4225
0500000US05001,"Arkansas County, Arkansas",17149,636,11575,4138,34,94,9,35,628
0500000US05003,"Ashley County, Arkansas",19062,1114,12685,4644,25,41,6,32,515
0500000US05005,"Baxter County, Arkansas",41627,1058,38049,88,218,234,9,94,1877
0500000US05007,"Benton County, Arkansas",284333,50540,191761,4523,3799,13602,2598,861,16649
0500000US05009,"Boone County, Arkansas",37373,973,33753,96,265,233,27,82,1944
0500000US05011,"Bradley County, Arkansas",10545,1575,5708,2921,29,27,0,13,272
0500000US05013,"Calhoun County, Arkansas",4739,127,3499,913,3,5,9,4,179
0500000US05015,"Carroll County, Arkansas",28260,4306,21175,88,253,564,432,94,1348
0500000US05017,"Chicot County, Arkansas",10208,581,3887,5387,26,38,9,25,255
0500000US05019,"Clark County, Arkansas",21446,1092,14093,5068,76,150,16,87,864
0500000US05021,"Clay County, Arkansas",14552,327,13574,40,44,14,5,20,528
0500000US05023,"Cleburne County, Arkansas",24711,632,22748,56,112,96,11,50,1006
0500000US05025,"Cleveland County, Arkansas",7550,182,6429,675,21,7,1,12,223
0500000US05027,"Columbia County, Arkansas",22801,773,13236,7834,71,163,0,71,653
0500000US05029,"Conway County, Arkansas",20715,886,16148,2190,136,89,8,22,1236
0500000US05031,"Craighead County, Arkansas",111231,6727,79137,18331,270,1684,54,278,4750
0500000US05033,"Crawford County, Arkansas",60133,4567,47627,857,1366,939,27,126,4624
0500000US05035,"Crittenden County, Arkansas",48163,1428,18948,25804,115,322,17,89,1440
0500000US05037,"Cross County, Arkansas",16833,352,12067,3651,38,102,5,43,575
0500000US05039,"Dallas County, Arkansas",6482,201,3425,2582,14,7,0,25,228
0500000US05041,"Desha County, Arkansas",11395,773,4732,5385,36,61,0,16,392
0500000US05043,"Drew County, Arkansas",17350,656,11148,4815,68,100,9,55,499
0500000US05045,"Faulkner County, Arkansas",123498,6790,92573,14274,562,1461,61,418,7359
0500000US05047,"Franklin County, Arkansas",17097,491,15201,78,199,162,10,30,926
0500000US05049,"Fulton County, Arkansas",12075,154,11201,27,66,35,0,16,576
0500000US05051,"Garland County, Arkansas",100180,7047,77239,8034,623,960,71,297,5909
0500000US05053,"Grant County, Arkansas",17958,440,16166,447,70,76,1,15,743
0500000US05055,"Greene County, Arkansas",45736,1596,40509,926,138,181,287,104,1995
0500000US05057,"Hempstead County, Arkansas",20065,2953,10558,5644,81,88,5,44,692
0500000US05059,"Hot Spring County, Arkansas",33040,1265,26221,3450,165,114,11,75,1739
0500000US05061,"Howard County, Arkansas",12785,1517,7982,2626,82,62,4,21,491
0500000US05063,"Independence County, Arkansas",37938,3258,31511,830,133,340,30,93,1743
0500000US05065,"Izard County, Arkansas",13577,326,12175,256,73,27,9,33,678
0500000US05067,"Jackson County, Arkansas",16755,461,12754,2764,43,63,4,50,616
0500000US05069,"Jefferson County, Arkansas",67260,1488,25230,37712,212,664,93,164,1697
0500000US05071,"Johnson County, Arkansas",25749,3439,19400,454,202,918,27,56,1253
0500000US05073,"Lafayette County, Arkansas",6308,145,3870,2043,29,32,5,6,178
0500000US05075,"Lawrence County, Arkansas",16216,357,14925,138,41,38,10,33,674
0500000US05077,"Lee County, Arkansas",8600,216,3424,4657,18,13,1,15,256
0500000US05079,"Lincoln County, Arkansas",12941,619,8188,3650,27,23,9,17,408
0500000US05081,"Little River County, Arkansas",12026,409,8593,2164,161,19,9,20,651
0500000US05083,"Logan County, Arkansas",21131,640,18586,225,228,328,8,35,1081
0500000US05085,"Lonoke County, Arkansas",74015,3610,60596,4349,314,716,49,173,4208
0500000US05087,"Madison County, Arkansas",16521,890,14075,36,205,102,238,59,916
0500000US05089,"Marion County, Arkansas",16826,379,15414,20,127,56,0,14,816
0500000US05091,"Miller County, Arkansas",42600,1583,27593,10922,246,205,4,139,1908
0500000US05093,"Mississippi County, Arkansas",40685,1771,22861,14251,67,242,3,98,1392
0500000US05095,"Monroe County, Arkansas",6799,186,3538,2751,30,28,7,32,227
0500000US05097,"Montgomery County, Arkansas",8484,415,7499,13,92,47,5,14,399
0500000US05099,"Nevada County, Arkansas",8310,354,5145,2433,37,41,0,16,284
0500000US05101,"Newton County, Arkansas",7225,82,6658,6,66,24,1,19,369
0500000US05103,"Ouachita County, Arkansas",22650,516,12092,8856,49,123,3,47,964
0500000US05105,"Perry County, Arkansas",10019,286,9069,107,43,12,0,25,477
0500000US05107,"Phillips County, Arkansas",16568,264,5541,10305,38,64,4,19,333
0500000US05109,"Pike County, Arkansas",10171,831,8525,238,83,16,0,26,452
0500000US05111,"Poinsett County, Arkansas",22965,829,19163,1773,91,56,1,50,1002
0500000US05113,"Polk County, Arkansas",19221,1278,16092,39,335,100,9,54,1314
0500000US05115,"Pope County, Arkansas",63381,6415,50037,2060,456,664,23,177,3549
0500000US05117,"Prairie County, Arkansas",8282,145,6924,922,19,20,3,11,238
0500000US05119,"Pulaski County, Arkansas",399125,33153,193993,142139,1169,9933,208,1458,17072
0500000US05121,"Randolph County, Arkansas",18571,384,16553,140,84,73,595,26,716
0500000US05123,"St. Francis County, Arkansas",23090,686,9206,12501,65,122,0,35,475
0500000US05125,"Saline County, Arkansas",123416,8507,96745,10351,522,1453,70,331,5437
0500000US05127,"Scott County, Arkansas",9836,748,8031,31,183,275,5,31,532
0500000US05129,"Searcy County, Arkansas",7828,140,7092,5,65,20,5,15,486
0500000US05131,"Sebastian County, Arkansas",127799,19328,82785,7891,2379,5700,91,299,9326
0500000US05133,"Sevier County, Arkansas",15839,5508,8400,550,305,60,241,21,754
0500000US05135,"Sharp County, Arkansas",17271,362,15729,114,121,57,20,24,844
0500000US05137,"Stone County, Arkansas",12359,271,11387,21,87,25,2,30,536
0500000US05139,"Union County, Arkansas",39054,1754,22904,12670,108,273,16,116,1213
0500000US05141,"Van Buren County, Arkansas",15796,501,14319,71,110,56,0,15,724
0500000US05143,"Washington County, Arkansas",245871,44755,160566,8330,2443,5631,8734,729,14683
0500000US05145,"White County, Arkansas",76822,3499,64363,3677,319,616,25,214,4109
0500000US05147,"Woodruff County, Arkansas",6269,96,4235,1601,8,22,0,25,282
0500000US05149,"Yell County, Arkansas",20263,4204,14710,226,111,202,11,29,770
